#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-04-16T12:48:33 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-16T12:48:33	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/180/54/table4	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_21800054
#Name: J/ApJS/180/54
#Title: Globular cluster candidates in ACS Virgo survey. (Jordan+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apjs/180/54	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/180/54	    IVOID of underlying data collection
#INFO	creator=Jordan A.	    First author or institution
#INFO	cites=bibcode:2009ApJS..180...54J	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/180/54	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21800054	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-07-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_180_54_table4:
#Name: J/ApJS/180/54/table4
#Title: Photometric and structural catalog of sources
#Column	VCC	(I4)	Virgo Cluster Catalog number (1)	[ucd=meta.id.parent]
#Column	RAJ2000	(F11.7)	Right Ascension in decimal degrees (J2000) (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	Declination in decimal degrees (J2000) (2)	[ucd=pos.eq.dec;meta.main]
#Column	GDist	(F7.3)	Galactocentric distance	[ucd=pos.angDistance]
#Column	zmag	(F6.3)	Model HST/ACS F850LP band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	zamag	(F6.3)	Average HST/ACS F850LP band correction aperture magnitude (4)	[ucd=phot.mag;em.opt.I]
#Column	gmag	(F6.3)	Model HST/ACS F475W band magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	gamag	(F6.3)	Average HST/ACS F475W band correction aperture magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	rhz	(F7.4)	Best-fit HST/ACS F850LP band half-light radius	[ucd=phys.angSize;src]
#Column	rhg	(F7.4)	Best-fit HST/ACS F475W band half-light radius	[ucd=phys.angSize;src]
#Column	pGC	(F5.2)	Probability source is a Globular Cluster (5)	[ucd=stat.fit.goodness]
#Column	E(B-V)	(F6.3)	Foreground E(B-V) assumed (6)	[ucd=phot.color.excess]
VCC	RAJ2000	DEJ2000	GDist	zmag	zamag	gmag	gamag	rhz	rhg	pGC	E(B-V)
 	deg	deg	arcsec	mag	mag	mag	mag	arcsec	arcsec	 	mag
----	-----------	-----------	-------	------	------	------	------	-------	-------	-----	------
1226	187.4439383	+08.0000332	  3.219	21.325	21.271	22.477	22.477	 0.0301	 0.0370	 1.00	 0.022
1226	187.4455059	+08.0010107	  3.437	22.700	22.665	23.797	23.763	 0.0319	 0.0283	 1.00	 0.022
1226	187.4436038	+08.0011660	  4.942	21.669	21.608	23.038	22.988	 0.0229	 0.0224	 1.00	 0.022
1226	187.4448279	+07.9986757	  6.244	20.916	20.874	22.297	22.255	 0.0238	 0.0286	 1.00	 0.022
1226	187.4469413	+07.9997839	  8.081	21.217	21.164	22.557	22.511	 0.0225	 0.0289	 1.00	 0.022
1226	187.4451763	+08.0026245	  8.123	22.770	22.882	23.611	23.629	 0.0574	 0.0411	 1.00	 0.022
1226	187.4454712	+08.0026666	  8.523	22.125	22.114	23.073	23.032	 0.0348	 0.0343	 1.00	 0.022
1226	187.4474911	+08.0010406	  9.987	22.309	22.340	23.501	23.537	 0.0638	 0.0419	 1.00	 0.022
1226	187.4423850	+07.9987706	 10.310	21.171	21.147	22.102	22.076	 0.0325	 0.0299	 1.00	 0.022
1226	187.4448252	+08.0033496	 10.594	21.498	21.439	22.893	22.853	 0.0184	 0.0148	 0.94	 0.022
1226	187.4464555	+07.9979555	 10.688	23.410	23.437	23.974	23.926	 0.0077	 0.0358	 0.99	 0.022
1226	187.4468670	+07.9982008	 10.933	19.889	19.891	21.288	21.290	 0.0375	 0.0349	 1.00	 0.022
1226	187.4440948	+08.0035453	 11.557	23.374	23.318	24.089	24.095	 0.0326	 0.0354	 0.99	 0.022
1226	187.4471733	+08.0027498	 12.050	22.594	22.555	23.934	23.897	 0.0270	 0.0141	 1.00	 0.022
1226	187.4433294	+08.0034903	 12.210	22.090	22.024	23.492	23.445	 0.0219	 0.0223	 1.00	 0.022
1226	187.4450661	+07.9969838	 12.365	22.292	22.235	23.785	23.737	 0.0144	 0.0270	 1.00	 0.022
1226	187.4479377	+07.9985460	 13.171	22.025	21.956	23.261	23.220	 0.0249	 0.0175	 1.00	 0.022
1226	187.4444844	+08.0040618	 13.196	21.760	21.751	23.246	23.204	 0.0310	 0.0260	 1.00	 0.022
1226	187.4416614	+07.9980605	 13.917	21.132	21.109	21.966	21.938	 0.0227	 0.0272	 1.00	 0.022
1226	187.4454031	+07.9965584	 14.046	21.988	21.944	23.412	23.383	 0.0293	 0.0266	 1.00	 0.022
1226	187.4425816	+07.9970962	 14.215	22.491	22.962	24.052	24.063	 0.1037	 0.0373	 0.91	 0.022
1226	187.4417438	+08.0030199	 14.279	21.926	21.980	23.799	23.774	 0.0434	 0.0176	 1.00	 0.022
1226	187.4428366	+07.9968289	 14.598	20.381	20.352	21.664	21.641	 0.0286	 0.0320	 1.00	 0.022
1226	187.4479695	+08.0029460	 14.657	21.860	21.976	22.935	22.900	 0.0561	 0.0454	 1.00	 0.022
1226	187.4485905	+07.9979953	 16.178	21.422	21.363	22.863	22.813	 0.0149	 0.0176	 0.93	 0.022
1226	187.4494589	+08.0009809	 16.884	23.251	23.186	24.347	24.351	 0.0229	 0.0227	 0.99	 0.022
1226	187.4487275	+07.9976176	 17.362	22.240	22.179	23.996	23.952	 0.0261	 0.0253	 1.00	 0.022
1226	187.4459688	+08.0050825	 17.380	21.317	21.284	22.253	22.229	 0.0301	 0.0278	 1.00	 0.022
1226	187.4407561	+08.0032889	 17.633	23.512	23.449	24.424	24.384	 0.0286	 0.0409	 0.99	 0.022
1226	187.4495998	+08.0014389	 17.645	23.395	23.357	24.361	24.329	 0.0320	 0.0228	 0.99	 0.022
1226	187.4487482	+08.0033304	 17.692	23.592	23.528	24.868	24.837	 0.0276	 0.0157	 0.98	 0.022
1226	187.4399392	+08.0016960	 17.810	21.792	21.730	22.603	22.578	 0.0216	 0.0276	 1.00	 0.022
1226	187.4468997	+07.9958395	 18.127	19.943	20.020	21.507	21.550	 0.0528	 0.0473	 1.00	 0.022
1226	187.4491293	+08.0030385	 18.240	19.191	19.169	20.593	20.571	 0.0304	 0.0280	 1.00	 0.022
1226	187.4399884	+07.9985326	 18.295	21.200	21.143	22.646	22.601	 0.0233	 0.0271	 1.00	 0.022
1226	187.4497196	+08.0022182	 18.842	19.413	19.384	20.820	20.791	 0.0317	 0.0265	 1.00	 0.022
1226	187.4400486	+07.9979204	 19.032	22.523	22.455	23.368	23.332	 0.0228	 0.0183	 1.00	 0.022
1226	187.4394848	+07.9991188	 19.362	21.983	21.918	23.548	23.501	 0.0233	 0.0276	 1.00	 0.022
1226	187.4494784	+08.0031413	 19.497	21.476	21.471	22.513	22.490	 0.0387	 0.0272	 1.00	 0.022
1226	187.4421036	+07.9956735	 19.505	21.389	21.342	22.779	22.761	 0.0330	 0.0369	 1.00	 0.022
1226	187.4413722	+07.9960508	 19.800	21.566	21.523	23.040	23.023	 0.0336	 0.0393	 1.00	 0.022
1226	187.4500238	+08.0026505	 20.427	20.376	20.423	21.670	21.693	 0.0441	 0.0406	 1.00	 0.022
1226	187.4438794	+07.9945295	 21.387	18.688	18.865	20.246	20.420	 0.0698	 0.0622	 1.00	 0.022
