#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-04-16T12:48:33 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-16T12:48:33	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/164/334/acsvcs	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_21640334
#Name: J/ApJS/164/334
#Title: ACS Virgo Cluster Survey. VI (Ferrarese+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/apjs/164/334	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/164/334	    IVOID of underlying data collection
#INFO	creator=Ferrarese L.	    First author or institution
#INFO	cites=bibcode:2006ApJS..164..334F	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/164/334	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21640334	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-08-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_164_334_acsvcs:
#Name: J/ApJS/164/334/acsvcs
#Title: Morphological properties and peculiarities of program galaxies (tables 1 and 2 of the paper)
#Column	n_ACSVCS	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	ACSVCS	(I3)	Running source identification number (G1)	[ucd=meta.id;meta.main]
#Column	R	(A1)	Note about this galaxy (from ``notes'' table)	[ucd=meta.ref.url]
#Column	VCC	(I4)	Virgo Cluster Catalog identification number (G2)	[ucd=meta.id]
#Column	RAJ2000	(A11)	NED Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	NED Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	BTmag	(F5.2)	The VCC B_T_ plate magnitude (1)	[ucd=phot.mag;em.opt.B]
#Column	E(B-V)	(F6.3)	The (B-V) color excess (2)	[ucd=phot.color.excess]
#Column	Vsys	(I4)	NED heliocentric systemic velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	MType	(a12)	The VCC morphological type	[ucd=src.morph.type]
#Column	Dust	(A3)	[C1-4: ] Dust detection (1)	[ucd=meta.code;src.morph]
#Column	SD	(A1)	[Y] Small-scale disk (2)	[ucd=meta.code;src.morph]
#Column	LD	(A2)	[Y: ] Large-scale disk (2)	[ucd=meta.code;src.morph]
#Column	N	(A2)	Presence of a nucleus (3)	[ucd=meta.code;src.morph]
#Column	B	(A2)	[Y: ] Existence of a bar	[ucd=meta.code;src.morph]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
n_ACSVCS	ACSVCS	R	VCC	RAJ2000	DEJ2000	BTmag	E(B-V)	Vsys	MType	Dust	SD	LD	N	B	Simbad	NED
 	 	 	 	"h:m:s"	"d:m:s"	mag	mag	km/s	 	 	 	 	 	 	 	
-	---	-	----	-----------	-----------	-----	------	----	------------	---	-	--	--	--	------	---
P	  1	R	1226	12 29 46.79	+08 00 01.5	 9.31	 0.022	 997	E2/S0_1_(2) 	C1 	 	  	II	  	Simbad	NED
P	  2	R	1316	12 30 49.42	+12 23 28.0	 9.58	 0.023	1307	E0          	C1 	 	  	0 	  	Simbad	NED
P	  3	R	1978	12 43 39.66	+11 33 09.4	 9.81	 0.026	1117	S0_1_(2)    	   	 	  	II	  	Simbad	NED
P	  4	R	 881	12 26 11.74	+12 56 46.4	10.06	 0.029	-244	S0_1_(3)/E3 	C1 	 	  	II	  	Simbad	NED
P	  5	R	 798	12 25 24.04	+18 11 25.9	10.09	 0.030	 729	S0_1_(3) pec	C1:	 	Y:	II	  	Simbad	NED
P	  6	R	 763	12 25 03.72	+12 53 13.2	10.26	 0.041	1060	E1          	C2 	 	  	0 	  	Simbad	NED
P	  7	R	 731	12 24 28.20	+07 19 03.0	10.51	 0.021	1243	E3          	   	 	  	Ib	  	Simbad	NED
 	  8	R	1535	12 34 03.10	+07 41 59.0	10.61	 0.021	 448	S0_3_(6)    	C3 	 	  	0 	  	Simbad	NED
P	  9	R	1903	12 42 02.40	+11 38 48.0	10.76	 0.032	 410	E4          	   	Y	  	Id	  	Simbad	NED
P	 10	R	1632	12 35 39.82	+12 33 22.6	10.78	 0.041	 340	S0_1_(0)    	C1 	 	  	II	  	Simbad	NED
P	 11	R	1231	12 29 48.87	+13 25 45.7	11.10	 0.028	2244	E5          	   	 	Y:	II	  	Simbad	NED
P	 12	R	2095	12 52 56.00	+11 13 53.0	11.18	 0.022	 984	S0_1_(9)    	   	 	Y 	Ib	  	Simbad	NED
P	 13	R	1154	12 29 00.03	+13 58 42.9	11.37	 0.045	1210	S0_3_(2)    	C3 	 	  	Id	  	Simbad	NED
P	 14	R	1062	12 28 03.90	+09 48 14.0	11.40	 0.022	 532	SB0_1_(6)   	   	 	  	Id	  	Simbad	NED
P	 15	R	2092	12 52 17.50	+11 18 50.0	11.51	 0.032	1377	SB0_1_(5)   	   	 	  	Ib	Y 	Simbad	NED
P	 16	R	 369	12 19 45.42	+12 47 54.3	11.80	 0.047	1009	SB0_1_      	   	 	  	Ib	Y:	Simbad	NED
P	 17	R	 759	12 24 55.50	+11 42 15.0	11.80	 0.036	 943	SB0_2_(r)(3)	C4 	 	  	II	Y 	Simbad	NED
P	 18	R	1692	12 36 53.40	+07 14 47.0	11.82	 0.022	1730	S0_1_(7)/E7 	   	Y	Y 	Ic	  	Simbad	NED
 	 19	R	1030	12 27 40.49	+13 04 44.2	11.84	 0.022	 801	SB0_1_(6)   	C3 	 	Y 	0 	  	Simbad	NED
P	 20	R	2000	12 44 31.95	+11 11 25.1	11.94	 0.034	1083	E3/S0_1_(3) 	   	 	Y 	Id	  	Simbad	NED
P	 21	R	 685	12 23 57.90	+16 41 37.0	11.99	 0.028	1241	S0_1_(8)    	C4 	Y	Y 	0 	  	Simbad	NED
P	 22	R	1664	12 36 26.86	+11 26 20.6	12.02	 0.033	1142	E6          	   	 	Y 	Ic	  	Simbad	NED
P	 23	R	 654	12 23 35.28	+16 43 22.3	12.03	 0.026	 950	RSB0_2_(5)  	   	 	  	Ib	Y 	Simbad	NED
