name,source,logMstar_gal,g_minus_i,has_nsc,colour_class_fig3,host_type_fig3
fig03_0000,NGFS,6.9820998145341875,0.8999999761581421,False,red_sequence,early
fig03_0001,NGFS,7.08603022491932,1.5700000524520874,False,red_sequence,early
fig03_0002,NGFS,7.354940126538278,0.8600000143051147,False,red_sequence,early
fig03_0003,NGFS,5.851139883577825,0.6600000262260437,False,red_sequence,early
fig03_0004,NGFS,7.443379963159562,1.2200000286102295,False,red_sequence,early
fig03_0005,NGFS,6.888619930028916,0.7799999713897705,False,red_sequence,early
fig03_0006,NGFS,7.118360046029092,1.840000033378601,False,red_sequence,early
fig03_0007,NGFS,7.321879993677141,0.7200000286102295,False,red_sequence,early
fig03_0008,NGFS,6.662830049991609,0.7699999809265137,True,red_sequence,early
fig03_0009,NGFS,6.318720009863377,0.6800000071525574,False,red_sequence,early
fig03_0010,NGFS,7.1990700744390494,1.3300000429153442,False,red_sequence,early
fig03_0011,NGFS,6.328000030517579,1.0,False,red_sequence,early
fig03_0012,NGFS,5.651960145190358,0.23999999463558197,False,blue_cloud,late
fig03_0013,NGFS,6.372949796915056,1.0499999523162842,False,red_sequence,early
fig03_0014,NGFS,5.966610085904599,0.5899999737739563,False,red_sequence,early
fig03_0015,NGFS,6.114830095767976,0.7699999809265137,True,red_sequence,early
fig03_0016,NGFS,7.15156008708477,0.6399999856948853,True,red_sequence,early
fig03_0017,NGFS,7.0600000000000005,1.0,False,red_sequence,early
fig03_0018,NGFS,7.641370113134385,1.0299999713897705,True,red_sequence,early
fig03_0019,NGFS,7.124729869246484,0.8700000047683716,False,red_sequence,early
fig03_0020,NGFS,6.522829897403718,0.7699999809265137,False,red_sequence,early
fig03_0021,NGFS,7.403579958438874,1.0199999809265137,False,red_sequence,early
fig03_0022,NGFS,6.727670178890229,0.7300000190734863,False,red_sequence,early
fig03_0023,NGFS,7.131669888973237,0.7300000190734863,False,red_sequence,early
fig03_0024,NGFS,7.535780157983304,0.8199999928474426,False,red_sequence,early
fig03_0025,NGFS,6.588730189681054,0.8700000047683716,False,red_sequence,early
