name,source,host_type,T,is_high_quality,logMstar_gal,logM_nsc,log_fraction
obs_0000,NGVS,early,-1.0,False,7.5,5.0,-2.5
obs_0001,NGVS,early,-1.0,False,7.0,5.2,-1.7999999999999998
obs_0002,NGVS,early,-1.0,False,7.9,5.6,-2.3000000000000007
obs_0003,NGVS,early,-1.0,False,8.5,6.5,-2.0
obs_0004,NGVS,early,-1.0,False,7.4,6.1,-1.3000000000000007
obs_0005,NGVS,early,-1.0,False,6.7,5.2,-1.5
obs_0006,NGVS,early,-1.0,False,7.2,6.2,-1.0
obs_0007,NGVS,early,-1.0,False,8.2,6.2,-1.9999999999999991
obs_0008,NGVS,early,-1.0,False,7.1,6.3,-0.7999999999999998
obs_0009,NGVS,early,-1.0,False,8.9,6.7,-2.2
obs_0010,NGVS,early,-1.0,False,6.3,5.2,-1.0999999999999996
obs_0011,NGVS,early,-1.0,False,9.1,6.2,-2.8999999999999995
obs_0012,NGVS,early,-1.0,False,8.6,6.6,-2.0
obs_0013,NGVS,early,-1.0,False,8.0,6.0,-2.0
obs_0014,NGVS,early,-1.0,False,7.4,5.5,-1.9000000000000004
obs_0015,NGVS,early,-1.0,False,9.9,7.3,-2.6000000000000005
obs_0016,NGVS,early,-1.0,False,5.9,5.2,-0.7000000000000002
obs_0017,NGVS,early,-1.0,False,7.5,5.8,-1.7000000000000002
obs_0018,NGVS,early,-1.0,False,6.9,5.3,-1.6000000000000005
obs_0019,NGVS,early,-1.0,False,7.8,5.6,-2.2
obs_0020,NGVS,early,-1.0,False,6.7,5.1,-1.6000000000000005
obs_0021,NGVS,early,-1.0,False,7.6,5.9,-1.6999999999999993
obs_0022,NGVS,early,-1.0,False,9.3,6.8,-2.500000000000001
obs_0023,NGVS,early,-1.0,False,8.5,6.2,-2.3
obs_0024,NGVS,early,-1.0,False,9.9,9.0,-0.9000000000000004
obs_0025,NGVS,early,-1.0,False,7.5,5.8,-1.7000000000000002
